epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,60943.3,1.09166,1.77378,1.1759,0.69358,0.68423,0.72187,0.50705,0.87034,1.47426,1.09518,0.00983267,0.00983267,0.00983267
85,61666.7,1.08759,1.77422,1.17676,0.69672,0.6911,0.72363,0.50821,0.86995,1.47099,1.09461,0.00982864,0.00982864,0.00982864
86,62385.8,1.0886,1.76898,1.17518,0.69155,0.6921,0.72477,0.50968,0.86905,1.46723,1.0937,0.00982456,0.00982456,0.00982456
87,63105.4,1.08702,1.76336,1.17362,0.69599,0.69158,0.72581,0.51011,0.86833,1.46423,1.093,0.00982043,0.00982043,0.00982043
88,63830.5,1.08635,1.77149,1.17586,0.69915,0.69168,0.72698,0.51059,0.86757,1.46165,1.0923,0.00981626,0.00981626,0.00981626
89,64551,1.08701,1.77419,1.17697,0.6997,0.69653,0.72845,0.51158,0.86702,1.45865,1.0919,0.00981204,0.00981204,0.00981204
90,65270.2,1.08889,1.77286,1.17336,0.69441,0.69894,0.72949,0.51229,0.86654,1.45533,1.09137,0.00980777,0.00980777,0.00980777
91,65997.6,1.08413,1.76057,1.17312,0.69861,0.69783,0.72945,0.51297,0.86615,1.45314,1.09096,0.00980345,0.00980345,0.00980345
92,66726.9,1.08222,1.75377,1.17011,0.69614,0.69781,0.72832,0.51349,0.86534,1.45053,1.0902,0.00979909,0.00979909,0.00979909
93,67454.9,1.08453,1.75773,1.17266,0.69259,0.69781,0.72928,0.51324,0.86494,1.44862,1.08948,0.00979468,0.00979468,0.00979468
94,68174.2,1.08465,1.75737,1.173,0.69894,0.69492,0.73014,0.51396,0.86453,1.44611,1.08891,0.00979023,0.00979023,0.00979023
95,68898.7,1.08296,1.76159,1.17571,0.69278,0.69749,0.73103,0.51508,0.86416,1.4436,1.08884,0.00978572,0.00978572,0.00978572
